S.N,Date,Design_No,Current_Stock,Tile_Name,Category,Brand,Size,Min_Stock,Max_Stock,Unit_Price,Status,Total_Value,Last_Updated
1.0,01-04-2025,017 -WALL TILES- 12*18 (F),9.0,017 -WALL TILES- 12*18 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,2026-02-07 18:50:40
2.0,01-04-2025,10003 -WALL TILES- 12*18 (HL-2),14.0,10003 -WALL TILES- 12*18 (HL-2),Uncategorized,Generic,,10,100,0.0,Active,0.0,2026-02-07 05:15:48
3.0,01-04-2025,10003 -WALL TILES- 12*18 (L),14.0,10003 -WALL TILES- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
4.0,01-04-2025,10038 -GVT- 24*24,15.0,10038 -GVT- 24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
5.0,01-04-2025,1005 - 2X2 PRE.,8.0,1005 - 2X2 PRE.,Uncategorized,Generic,,10,100,0.0,Active,0.0,
6.0,01-04-2025,1012 D,31.0,1012 D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
7.0,01-04-2025,1012 F,18.0,1012 F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
8.0,01-04-2025,1012 HL-1,46.0,1012 HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,2026-02-07 16:10:04
9.0,01-04-2025,1012 HL-2,50.0,1012 HL-2,Uncategorized,Generic,,10,100,0.0,Active,0.0,
10.0,01-04-2025,1012 L,2.0,1012 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
11.0,01-04-2025,10160 -GVT- 24*24,8.0,10160 -GVT- 24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
12.0,01-04-2025,10161 GVT 24*24,69.0,10161 GVT 24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
13.0,01-04-2025,10170,7.0,10170,Uncategorized,Generic,,10,100,0.0,Active,0.0,
14.0,01-04-2025,10175,3.0,10175,Uncategorized,Generic,,10,100,0.0,Active,0.0,
15.0,01-04-2025,1066 D,39.0,1066 D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
16.0,01-04-2025,1066 HL,31.0,1066 HL,Uncategorized,Generic,,10,100,0.0,Active,0.0,
17.0,01-04-2025,1066 L,45.0,1066 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
18.0,01-04-2025,1143 D,37.0,1143 D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
19.0,01-04-2025,1143 F,8.0,1143 F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
20.0,01-04-2025,1143 HL-A,2.0,1143 HL-A,Uncategorized,Generic,,10,100,0.0,Active,0.0,
21.0,01-04-2025,1143 HL-B,9.0,1143 HL-B,Uncategorized,Generic,,10,100,0.0,Active,0.0,
22.0,01-04-2025,1143 L,8.0,1143 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
23.0,01-04-2025,1167 D,89.0,1167 D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
24.0,01-04-2025,1167 HL,82.0,1167 HL,Uncategorized,Generic,,10,100,0.0,Active,0.0,
25.0,01-04-2025,1167 L,54.0,1167 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
26.0,01-04-2025,1172 - D,18.0,1172 - D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
27.0,01-04-2025,1172 - F,43.0,1172 - F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
28.0,01-04-2025,1172 - L,39.0,1172 - L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
29.0,01-04-2025,1195 - F,19.0,1195 - F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
30.0,01-04-2025,1195 -L,1.0,1195 -L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
31.0,01-04-2025,12036-GVT- 24*24-  PRE.,2.0,12036-GVT- 24*24-  PRE.,Uncategorized,Generic,,10,100,0.0,Active,0.0,
32.0,01-04-2025,1263 - F,38.0,1263 - F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
33.0,01-04-2025,1263 - HL-1,4.0,1263 - HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
34.0,01-04-2025,1263 - L,20.0,1263 - L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
35.0,01-04-2025,13002,1.0,13002,Uncategorized,Generic,,10,100,0.0,Active,0.0,
36.0,01-04-2025,14017-GVT -24*24 - PRE,23.0,14017-GVT -24*24 - PRE,Uncategorized,Generic,,10,100,0.0,Active,0.0,
